2022 Rough Count Cases,from,to,2022Total(G:M),21NOV,21DEC,22JAN,FEB,March,April,May,June,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,,,,
??Acc意外,26/6/2022,lightning strike,https://www.hk01.com/sns/article/785715,雷劈！百萬分之一機率 女子帶狗散步被雷擊中 1人2狗陳屍單車道,,,,,,,,,??交通航空意外,13/4/2024,https://www.hk01.com/article/1009890?utm_source=01articlecopy&utm_medium=referral,西區海底隧道出口3車相撞　往上環交通一度擠塞　市民徒步離開,,,,,,,,,,,,,,,,,
??Acc意外,4/7/2022,Person Falling,https://www.hk01.com/sns/article/788737,元朗貨倉負責人換光管失足 由5米高墮地後腦重創昏迷,,,,,,,,,??交通航空意外,13/4/2024,https://www.hk01.com/article/1009876?utm_source=01articlecopy&utm_medium=referral,沙田獅子山隧道公路8車「串燒」相撞1輕傷　出九龍擠塞,,,,,,,,,,,,,,,,,
??Acc意外,7/7/2022,https://hk.on.cc/hk/bkn/cnt/news/20220707/bkn-20220707083740772-0707_00822_001.html,半山舊樓拆卸地盤發生慘劇　工人從無圍欄洞口墮10樓斃命,,,,,,,,,,??交通航空意外,13/4/2024,https://www.hk01.com/article/1009856?utm_source=01articlecopy&utm_medium=referral,大埔太和路私家車疑失事翻側　司機受傷一度被困車內,,,,,,,,,,,,,,,,,
??Acc意外,13/7/2022,Person Falling,https://news.tvbs.com.tw/local/1846691,捷運萬大線工安意外！為拆板模爬3米高架 工人墜地傷重亡,,,,,,,,,??交通航空意外,12/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240412/bkn-20240412002029062-0412_00822_001.html,休班救護員駕私家車吐露港撼客貨車　頸部大動脈割傷流血不止,,,,,,,,,,,,,,,,,
??Acc意外,13/7/2022,Heat Stroke,https://hd.stheadline.com/news/realtime/chi/2354471/%E5%8D%B3%E6%99%82-%E4%B8%AD%E5%9C%8B-%E5%A4%9A%E5%9C%B0%E5%A4%9A%E4%BA%BA%E4%B8%AD%E6%9A%91-%E6%B5%99%E6%B1%9F%E5%9B%9B%E5%B7%9D%E5%87%BA%E7%8F%BE%E6%AD%BB%E4%BA%A1%E7%97%85%E4%BE%8B,多地多人中暑 浙江四川出現死亡病例,,,,,,,,,??交通航空意外,12/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240412/bkn-20240412000715999-0412_00822_001.html,4輛警察電單車兩小時內發生3宗意外　無人受傷,,,,,,,,,,,,,,,,,
??Acc意外,13/7/2022,Heat Stroke,https://hd.stheadline.com/news/realtime/chi/2354471/%E5%8D%B3%E6%99%82-%E4%B8%AD%E5%9C%8B-%E5%A4%9A%E5%9C%B0%E5%A4%9A%E4%BA%BA%E4%B8%AD%E6%9A%91-%E6%B5%99%E6%B1%9F%E5%9B%9B%E5%B7%9D%E5%87%BA%E7%8F%BE%E6%AD%BB%E4%BA%A1%E7%97%85%E4%BE%8B,江蘇省中醫院7月12日，接收一名37歲的裝修工人，他連續工作4小時後，頭暈、頻繁嘔吐，被確診為熱射病（中暑）。,,,,,,,,,??交通航空意外,12/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240412/bkn-20240412064519079-0412_00822_001.html,屯門公路電單車失事撞欄　巴籍鐵騎士昏迷送院不治,,,,,,,,,,,,,,,,,
??Acc意外,14/7/2022,Explosion,https://hd.stheadline.com/news/daily/hk/991083/%E6%97%A5%E5%A0%B1-%E6%B8%AF%E8%81%9E-%E9%91%BF%E5%9C%B0%E8%AA%A4%E8%A7%B8%E9%9B%BB%E7%BA%9C%E5%BC%95%E8%B5%B7%E7%88%86%E7%82%B8-%E5%B7%A5%E4%BA%BA%E9%9D%A2%E9%83%A8%E7%87%92%E5%82%B7%E9%80%81%E9%99%A2,鑿地誤觸電纜引起爆炸 工人面部燒傷送院,,,,,,,,,??交通航空意外,12/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240412/bkn-20240412074022599-0412_00822_001.html,吐露港公路兩私家車相撞　一車翻側往沙田方向交通一度受阻,,,,,,,,,,,,,,,,,
??Acc意外,14/7/2022,Person Falling,https://news.tvbs.com.tw/local/1847583,大潭電廠工人疑未勾安全帶 踩空重摔落地亡,,,,,,,,,??交通航空意外,12/4/2024,https://www.hk01.com/article/1009784?utm_source=01articlecopy&utm_medium=referral,洪水橋田廈路七人車撞欄翻側　3人受傷送院,,,,,,,,,,,,,,,,,
??Acc意外,14/7/2022,Heat Stroke,https://hk.on.cc/hk/bkn/cnt/cnnews/20220714/bkn-20220714090223421-0714_00952_001.html,上海連續兩日破40℃ 老婦中暑身亡,,,,,,,,,??交通航空意外,11/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240411/bkn-20240411094935724-0411_00822_001.html,欣澳的士撞工程車釀兩傷　神奇道交通一度受阻 (11日)8時27分,,,,,,,,,,,,,,,,,
??Acc意外,16/7/2022,Collapsed Erection,https://news.tvbs.com.tw/local/1849793,桃園民宅圍牆突倒塌 6旬工人「來不及逃」遭重壓亡,,,,,,,,,??交通航空意外,11/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240411/bkn-20240411123415426-0411_00822_001.html,大埔汀角路旅巴撼九巴　12人受傷送院 (11日)12時12分,,,,,,,,,,,,,,,,,
??Acc意外,16/7/2022,Lifting Operation,https://news.tvbs.com.tw/local/1849701,悚！疑鋼索斷裂30噸巨石掉落 花蓮工人「腰斬」身亡,,,,,,,,,??交通航空意外,11/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240411/bkn-20240411160144570-0411_00822_001.html,元朗貨車跣胎翻側　男司機受傷送院 11日3時39分,,,,,,,,,,,,,,,,,
??Acc意外,16/7/2022,Heat Stroke,https://www.hk01.com/sns/article/792514,死在幼稚園外！3歲男童遭父遺車內6小時焗死 推算車內高溫達77°C | 香港01,,,,,,,,,??交通航空意外,11/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240411/bkn-20240411200800818-0411_00822_001.html,吐露港公路兩車相撞　私家車司機昏迷送院 04月11日7,,,,,,,,,,,,,,,,,
??Acc意外,17/7/2022,Heat Stroke,https://www.hk01.com/sns/article/793324,熱浪席捲歐洲 西班牙360人死於高溫 英國氣溫料高達攝氏41度,,,,,,,,,??交通航空意外,8/4/2024,https://www.hk01.com/article/1008164?utm_source=01articlecopy&utm_medium=referral,上水奪命車禍｜司機暫控危駕致死及更改證據等罪　還押候訊,,,,,,,,,,,,,,,,,
??Acc意外,17/7/2022,fire electric,https://www.hk01.com/sns/article/793297,屯門寶田?一單位雪櫃電線短路起火　獨居老婦死亡,,,,,,,,,??交通航空意外,5/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240405/bkn-20240405082627150-0405_00822_001.html,上水私家車疑撞飛單車嫗不顧而去　倒斃坑渠近10小時始被發現,,,,,,,,,,,,,,,,,
??Acc意外,18/7/2022,Person Falling,https://news.tvbs.com.tw/local/1851515,工人維修冷氣 墜8樓亡勞檢處「沒穿安全帶」,,,,,,,,,??交通航空意外,2/4/2024,https://topick.hket.com/article/3735671?r=cpsdlc,中環的士意外?女車模蘭桂坊截的士與司機爭執　慘被拖行5米倒地周身傷,,,,,,,,,,,,,,,,,
??Acc意外,18/7/2022,Heat Stroke,https://www.hk01.com/sns/article/793559,熱浪襲歐洲過千人亡 高溫引發多國山火頻生,,,,,,,,,??交通航空意外,2/4/2024,https://www.hk01.com/article/1006485?utm_source=01articlecopy&utm_medium=referral,今年首季19宗奪命車禍20死　警3月交通執法拘8人派3654張傳票告票,,,,,,,,,,,,,,,,,
??Acc意外,19/7/2022,Trapping,https://hd.stheadline.com/news/realtime/hk/2356544/%E5%8D%B3%E6%99%82-%E6%B8%AF%E8%81%9E-%E6%B8%AF%E9%90%B5%E4%B9%9D%E9%BE%8D%E7%81%A3%E8%BB%8A%E5%BB%A0%E5%B7%A5%E6%A5%AD%E6%84%8F%E5%A4%96-%E8%BB%8A%E7%AB%99%E7%AE%A1%E7%90%86%E4%B8%BB%E4%BB%BB%E5%B0%BE%E6%8C%87%E9%81%AD%E5%AE%A4%E9%96%80%E5%A4%BE%E5%82%B7%E9%80%81%E9%99%A2,港鐵九龍灣車廠工業意外 車站管理主任尾指遭室門夾傷送院,,,,,,,,,??交通航空意外,1/4/2024,https://dynamic.hket.com/article/qJpWdDJ8RS16TELHA?r=cpsdlc,【交通意外】元朗男子遭的士撞斃　司機涉危駕被捕,,,,,,,,,,,,,,,,,
??Acc意外,19/7/2022,Person Falling,https://news.tvbs.com.tw/local/1852866,矽品工安意外 吊掛堆高機5樓墜落駕駛亡,,,,,,,,,??交通航空意外,28/3/2024,https://www.hk01.com/article/1004982?utm_source=01articlecopy&utm_medium=referral,葵涌道七人車疑失控翻側　男司機一度被困由消防救出,,,,,,,,,,,,,,,,,
??Acc意外,20/7/2022,Person Falling,https://news.tvbs.com.tw/local/1853686,桃園建案工人墜樓身亡！勞檢處罰30萬勒令停工送辦,,,,,,,,,??交通航空意外,27/3/2024,https://hk.on.cc/hk/bkn/cnt/news/20240327/bkn-20240327045109843-0327_00822_001.html,機場的士站5的士串燒　1司機胸痛送院,,,,,,,,,,,,,,,,,
??Acc意外,22/7/2022,Heat Stroke,https://news.tvbs.com.tw/world/1855434,熱斃了！歐洲高溫飆升 西班牙10天內500人喪命,,,,,,,,,??交通航空意外,25/3/2024,https://www.hk01.com/article/1003891?utm_source=01articlecopy&utm_medium=referral,藍田啟田道的士與中型貨車相撞1人受傷　來回線一度全封,,,,,,,,,,,,,,,,,
??Acc意外,22/7/2022,Heat Stroke,https://www.bastillepost.com/hongkong/article/11055910-%E6%9A%91%E7%86%B1%E6%96%B0%E5%86%A0%E5%A4%BE%E6%93%8A%E5%AE%B6%E4%B8%AD%E7%84%A1%E7%AA%97%E7%84%A1%E5%86%B7%E6%B0%A3-%E5%8F%B0%E7%94%B7%E9%AB%94%E6%BA%AB%E7%87%92%E8%87%B344%E5%BA%A6%E7%8C%9D,台男體溫燒至44度猝死,,,,,,,,,??交通航空意外,17/3/2024,https://www.hk01.com/article/1001395?utm_source=01articlecopy&utm_medium=referral,大埔公路「P牌」七人車剷石壆翻側　女司機一度被困　頭受傷送院,,,,,,,,,,,,,,,,,
??Acc意外,23/7/2022,Heat Stroke,https://www.hk01.com/sns/article/795635,熱浪席捲歐洲最少1700人死亡 英國錄得350年以來最高溫,,,,,,,,,??交通航空意外,16/3/2024,https://www.hk01.com/article/1001159?utm_source=01articlecopy&utm_medium=referral,大埔汀角路私家車失事四輪朝天　司機自行爬出手傷送院,,,,,,,,,,,,,,,,,
??Acc意外,24/7/2022,Heat Stroke,https://www.hk01.com/sns/article/796000,西貢蚺蛇尖蚺蛇灣兩日兩人中暑 一男身亡一女直升機送院獲救,,,,,,,,,??交通航空意外,10/3/2024,https://www.hk01.com/article/998888?utm_source=01articlecopy&utm_medium=referral,趙安吉疑做錯一事連人帶車溺斃　死前恐慌致電求援　眾人欲救無從,,,,,,,,,,,,,,,,,
??Acc意外,25/7/2022,Heat Stroke,https://www.hk01.com/sns/article/796175,酷熱天氣未見盡頭 報販,,,,,,,,,??交通航空意外,9/3/2024,https://www.hk01.com/article/998846?utm_source=01articlecopy&utm_medium=referral,美媒披露趙安吉車禍過程：駕Tesla操作失誤　汽車向後墜池塘,,,,,,,,,,,,,,,,,
??Acc意外,25/7/2022,Heat Stroke,https://www.hk01.com/sns/article/796017,印傭雞公嶺行山疑中暑 由直升機救起不治,,,,,,,,,??交通航空意外,2/3/2024,https://www.hk01.com/article/996291?utm_source=01articlecopy&utm_medium=referral,新界西堆填區擴建地盤意外　64歲男工疑昏迷7小時無人發現送院亡,,,,,,,,,,,,,,,,,
??Acc意外,26/7/2022,Heat Stroke,http://fz.fjsen.com/2022-07/26/content_31093562.htm,福州一工人患?射病陷入昏迷 幸好?救及?,,,,,,,,,??交通航空意外,10/2/2024,https://hk.on.cc/hk/bkn/cnt/news/20240210/bkn-20240210153435773-0210_00822_001.html,吐露港公路兩車首尾撞11傷包括1嬰孩　對面線再釀3車串燒,,,,,,,,,,,,,,,,,
??Acc意外,26/7/2022,Heat Stroke,https://udn.com/news/story/7238/6490294,傳台電員工限開冷氣熱昏暈倒 台電澄清回應,,,,,,,,,??交通航空意外,8/2/2024,https://hk.epochtimes.com/news/2024-02-08/21185146,大角嘴P牌客貨車撞毀交通燈 橫?行人路,,,,,,,,,,,,,,,,,
??Acc意外,27/7/2022,Heat Stroke,https://hk.on.cc/hk/bkn/cnt/cnnews/20220728/bkn-20220728052133748-0728_00952_001.html,女子工作中暑亡 法院判保險公司賠40萬人民幣,,,,,,,,,??交通航空意外,20/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240420/bkn-20240420105606519-0420_00822_001.html,屯門公路兩車相撞1司機被困　往九龍方向交通受阻,,,,,,,,,,,,,,,,,
??Acc意外,29/7/2022,Person Falling,https://www.hk01.com/sns/article/798218,元朗工人5米高屋頂墮地 多處受傷昏迷送院,,,,,,,,,??交通航空意外,21/4/2024,https://www.hk01.com/article/1012241?utm_source=01articlecopy&utm_medium=referral,大埔公路Tesla和巴士相撞後剷上石壆　3人受傷,,,,,,,,,,,,,,,,,
??Acc意外,29/7/2022,Person Falling,https://www.hk01.com/sns/article/797724,山上密林如廁踏空釀墮崖悲劇 民安隊籲行山勿飲凍飲 避免突肚痛,,,,,,,,,??交通航空意外,22/4/2024,https://www.hk01.com/article/1012484?utm_source=01articlecopy&utm_medium=referral,東九龍走廊5車串燒　3男2女傷　往觀塘方向近新柳街快線封閉,,,,,,,,,,,,,,,,,
??Acc意外,29/7/2022,Heat Stroke,https://hk.on.cc/hk/bkn/cnt/news/20220729/bkn-20220729000109603-0729_00822_001.html,炎夏行山易中暑 今年首7月攀山拯救事故錄12人死 | on.cc東網 | 港澳,,,,,,,,,??交通航空意外,22/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240422/bkn-20240422050834443-0422_00822_001.html,欣澳神奇道的士直撼大樹　的哥撞到嘔血送院救治,,,,,,,,,,,,,,,,,
??Acc意外,29/7/2022,Heat Stroke,https://www.hk01.com/sns/article/798097,屯門黃金泳灘男子中暑昏迷 救生員狂奔500米救回一命,,,,,,,,,??交通航空意外,25/4/2024,https://hk.on.cc/hk/bkn/cnt/news/20240425/bkn-20240425150712576-0425_00822_001.html,流浮山司機遭溜後貨櫃車夾斃　死者為家庭經濟支柱,,,,,,,,,,,,,,,,,
??Acc意外,30/7/2022,Contact with moving machine,https://tw.news.yahoo.com/%E5%A4%B1%E8%B6%B3%E5%A2%9C%E6%94%AA%E6%8B%8C%E6%A1%B6-%E5%85%A8%E8%BA%AB%E6%89%AD%E6%9B%B2%E6%85%98%E4%BA%A1-%E5%8F%B0%E7%B3%96%E5%93%A1%E5%B7%A5%E6%84%8F%E5%A4%96%E5%96%AA%E5%91%BD-%E5%90%8C%E4%BA%8B%E5%98%86-%E4%BB%96%E5%8E%9F%E6%9C%AC%E4%BB%8A%E5%A4%A9%E8%A6%81%E9%9B%A2%E8%81%B7-004825895.html,失足墜攪拌桶「全身扭曲慘亡」！台糖員工意外喪命 同事嘆：他原本今天要離職,,,,,,,,,??交通航空意外,7/5/2024,https://hk.on.cc/hk/bkn/cnt/news/20240507/bkn-20240507033817254-0507_00822_001.html,青衣七人車自炒撞壆　司機疑酒駕受傷送院,,,,,,,,,,,,,,,,,
??Acc意外,30/7/2022,Heat Stroke,https://news.tvbs.com.tw/life/1863141,死亡+60 40多歲男解隔上班中暑40.9度亡,,,,,,,,,??交通航空意外,6/5/2024,https://www.hk01.com/article/1016896?utm_source=01articlecopy&utm_medium=referral,屯門公路兩車撞釀兩傷包括9歲童　女司機一度被困　多名司機施援,,,,,,,,,,,,,,,,,
??Acc意外,30/7/2022,Heat Stroke,https://news.tvbs.com.tw/life/1863046,染疫併中暑亡第2例 4旬男解隔後上班高燒40.9度,,,,,,,,,??交通航空意外,4/5/2024,https://www.hk01.com/article/1016323?utm_source=01articlecopy&utm_medium=referral,大埔道國產電動車車禍　落地1個月掃毀10米欄　車輪飛脫司機蹤杳,,,,,,,,,,,,,,,,,
??Acc意外,31/7/2022,Crushed,https://hd.stheadline.com/news/realtime/chi/2360001/%E5%8D%B3%E6%99%82-%E4%B8%AD%E5%9C%8B-%E5%8F%B0%E5%8C%97%E5%9C%B0%E7%9B%A4%E5%B7%A5%E6%A5%AD%E6%84%8F%E5%A4%96-%E5%B7%A5%E4%BA%BA%E9%81%AD%E9%8B%BC%E6%A8%91%E5%A3%93%E6%96%B7%E5%8F%B3%E8%85%BF%E4%BA%A1,台北地盤工業意外 工人遭鋼樑壓斷右腿亡,,,,,,,,,??交通航空意外,4/5/2024,https://hk.on.cc/hk/bkn/cnt/news/20240504/bkn-20240504023332335-0504_00822_001.html,葵涌的士與私家車十字路口相撞　4人受傷送院,,,,,,,,,,,,,,,,,
