??醫藥病疫精神健康情緒等等,18/11/2022,depravation,https://www.hk01.com/article/837876?utm_source=01articlecopy&utm_medium=referral,10歲男童被婦人尾隨 機智找店員幫忙扮媽媽 店員即鎖門趕走拐子,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,illness,https://hk.on.cc/hk/bkn/cnt/intnews/20221118/bkn-20221118122419369-1118_00992_001.html,超級細菌病例急增　歐疾控料與新冠疫情有關,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,illness,https://hk.on.cc/hk/bkn/cnt/news/20221118/bkn-20221118113326344-1118_00822_001.html,復必泰二價疫苗獲認可在港作緊急使用　料月底由德國運抵香港,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/cnnews/20221118/bkn-20221118210921064-1118_00952_001.html,19歲女與多名同性涉感情糾紛　遭5人圍毆致死,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,18/11/2022,depravation,https://news.tvbs.com.tw/local/1966027,遭詐團狠棄屍！單親媽生前悲喊「兒子對不起我愛你」惹淚,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,17/11/2022,depravation,https://www.hk01.com/article/837395?utm_source=01articlecopy&utm_medium=referral,血管瘤撕裂病人裁死於自然　聞醫院曾4次拒收其兄　妹稱仍覺憤怒,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,17/11/2022,illness,https://www.hk01.com/article/828629?utm_source=01articlecopy&utm_medium=referral,類鼻疽菌｜多處樣本驗出類鼻疽菌 袁國勇：明顯真是爆發,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,17/11/2022,illness,https://hk.on.cc/hk/bkn/cnt/news/20221117/bkn-20221117174612257-1117_00822_001.html,4長期病患者染中東呼吸綜合症　3人曾接觸駱駝及飲駱駝奶,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,17/11/2022,depravation,https://www.ettoday.net/news/20221117/2382400.htm,醫科女大生宿舍詭死！室友跑趴「她離奇墜6樓亡」　全身不明瘀傷,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,17/11/2022,depravation,https://www.ettoday.net/news/20221117/2382029.htm,鄭州爸為幼女叫救護車…醫護人員稱「不嚴重」秒離開　孩子慘病亡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,16/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/news/20221116/bkn-20221116085254208-1116_00822_001.html,私院呈報3宗錯誤處方藥物　仁安有病人自行離院後疑自殺亡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,16/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/cnnews/20221116/bkn-20221116100639847-1116_00952_001.html,老闆質疑偷文具　10歲女跳樓亡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,16/11/2022,illness,https://www.ettoday.net/news/20221115/2380953.htm,原文網址: 新北男求職淪「豬仔」　心臟病沒藥吃囚4天獲釋！警破門再救1人 | ETtoday社會新聞 | ETtoday新聞雲 ,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,16/11/2022,illness,https://www.hk01.com/article/837217?utm_source=01articlecopy&utm_medium=referral,類鼻疽｜居深水?91歲確診翁亡　?生防護中心：死因與類鼻疽無關,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,15/11/2022,depravation,https://hk.news.yahoo.com/%E7%97%85%E4%BA%BA%E8%A1%80%E7%AE%A1%E7%98%A4%E6%92%95%E8%A3%82-1%E5%B0%8F%E6%99%82%E5%85%A74%E9%81%AD%E6%8B%92%E6%94%B6%E5%BE%8C%E4%B8%8D%E6%B2%BB-%E6%AD%BB%E5%9B%A0%E5%BA%AD%E9%96%8B%E5%BA%AD%E7%A0%94%E8%A8%8A-092316996.html,病人血管瘤撕裂 1小時內4遭拒收後不治 死因庭開庭研訊,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,15/11/2022,illness,https://tw.news.yahoo.com/%E5%BE%97%E4%BA%86%E9%9F%93%E5%8A%87%E4%B8%AD%E5%B8%B8%E5%87%BA%E7%8F%BE%E7%9A%84%E4%B8%8D%E6%B2%BB%E4%B9%8B%E7%97%87%E7%9C%9F%E7%9A%84%E6%9C%83%E6%AD%BB-%E5%85%B6%E5%AF%A6%E9%80%BE%E5%85%AB%E6%88%90-%E7%99%BD%E8%A1%80%E7%97%85-%E6%9C%89%E6%9C%9B%E6%B2%BB%E7%99%92-083752581.html,得了韓劇中常出現的不治之症真的會死？其實逾八成「白血病」有望治癒,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,15/11/2022,depravation,https://www.ettoday.net/news/20221115/2380508.htm,父親住院染疫不治　兒子怒控隔壁病房「確診看護」害命,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,Brainwash,https://www.hk01.com/article/835982?utm_source=01articlecopy&utm_medium=referral,社恐男常有瀕死體驗「以為下一秒就要死」　原來患上這種病？,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,Brainwash,https://www.hk01.com/article/835733?utm_source=01articlecopy&utm_medium=referral,中風｜腦中風後吞嚥困難易嗆咳　醫生分享5招恢復口咽肌肉協調,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,Brainwash,https://www.hk01.com/article/836190?utm_source=01articlecopy&utm_medium=referral,新冠疫苗｜藥劑師學會：復必泰二價疫苗11月尾到港　聖誕前可接種,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,Brainwash,https://hk.on.cc/hk/bkn/cnt/news/20221114/bkn-20221114050044991-1114_00822_001.html,逾千港人心臟衰竭死亡　醫生提醒病者勿自行停藥,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,Brainwash,https://tw.news.yahoo.com/%E8%82%BA%E9%98%BB%E5%A1%9E-%E5%85%A8%E7%90%83%E6%AD%BB%E5%9B%A0%E7%AC%AC3%E5%90%8D-%E9%86%AB-9%E6%88%90%E5%9B%A0%E5%90%B8%E8%8F%B8-%E6%9C%89-012703270.html,「肺阻塞」全球死因第3名！醫：9成因吸菸 有「咳、喘、痰」快檢查！,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,illness,https://tw.news.yahoo.com/%E6%B5%81%E6%84%9F%E9%87%8D%E7%97%87%E6%AD%BB%E4%BA%A1%E5%A2%9E1%E4%BE%8B-%E5%85%AC%E8%B2%BB%E6%B5%81%E6%84%9F%E7%96%AB%E8%8B%97%E5%89%A92%E6%88%90%E5%8F%AF%E6%89%93-111905898.html,流感重症死亡增1例 公費流感疫苗剩2成可打,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,illness,https://news.tvbs.com.tw/focus/1962071,RSV激增！美兒科爆滿　1歲下第二大死因,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,14/11/2022,depravation,https://www.ettoday.net/news/20221115/2380953.htm#ixzz7knntzrtY,新北男求職淪「豬仔」　心臟病沒藥吃囚4天獲釋！警破門再救1人,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,13/11/2022,Brainwash,https://www.bastillepost.com/hongkong/article/11679722-%E6%8F%AD%E9%95%B7%E6%9C%9F%E9%81%AD%E7%B6%93%E7%90%86%E4%BA%BA%E5%85%AC%E5%8F%B8%E8%80%81%E9%97%86%E4%B8%8D%E4%BA%BA%E9%81%93%E5%B0%8D%E5%BE%85-omega-x%EF%BC%9A%E5%83%8F%E6%AD%BB%E4%B8%80%E6%A8%A3,揭長期遭經理人公司老闆不人道對待 OMEGA X：像死一樣痛苦,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,13/11/2022,Brainwash,https://www.hk01.com/article/835845?utm_source=01articlecopy&utm_medium=referral,孔繁毅料明年夏季復常　可取消入境限制、口罩令　惟冬季仍要打針,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,12/11/2022,Brainwash,https://topick.hket.com/article/3397813/%E3%80%90%E9%A3%9B%E4%BE%86%E6%A9%AB%E7%A6%8D%E3%80%916%E6%AD%B2%E5%A5%B3%E9%81%AD%E5%A4%A9%E9%99%8D%E8%9E%BA%E7%B5%B2%E6%89%B9%E6%8F%92%E4%B8%AD%E9%A0%AD%20%20%20%E9%87%8D%E5%82%B7%E6%98%8F%E8%BF%B7%E5%8D%B1%E6%AE%86,【飛來橫禍】6歲女遭天降螺絲批插中頭 重傷昏迷危殆,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,11/11/2022,Brainwash,https://hk.on.cc/hk/bkn/cnt/news/20221111/bkn-20221111085851233-1111_00822_001.html,3成公院確診病人因自身疾病離世　醫管局：部分個案有灰色地帶,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,11/11/2022,Brainwash,https://tw.news.yahoo.com/77%E6%AD%B2%E8%80%81%E5%A9%A6%E9%AA%A8%E6%8A%98-%E7%A9%BA%E8%85%B98%E5%A4%A9%E7%AD%89%E9%96%8B%E5%88%80-%E9%86%AB%E9%99%A2%E6%8B%92%E7%B5%A6%E9%A3%9F%E7%89%A9-%E5%A5%B9%E8%BA%BA%E7%97%85%E5%BA%8A%E6%B4%BB%E6%B4%BB%E9%A4%93%E6%AD%BB-154006937.html,77歲老婦骨折「空腹8天等開刀」…醫院拒給食物 她躺病床活活餓死,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,10/11/2022,Brainwash,https://www.hk01.com/article/834884?utm_source=01articlecopy&utm_medium=referral,37歲女星吃飯「腸子突然掉出來」下秒淡定塞回去　原來患上這種病,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,10/11/2022,Brainwash,https://hk.on.cc/hk/bkn/cnt/news/20221110/bkn-20221110183952339-1110_00822_001.html,7成女性不認識子宮內膜異位症　醫生指延誤診治會影響生育能力,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,10/11/2022,Brainwash,https://health.ltn.com.tw/article/breakingnews/4119295,健康網》「壞的膽固醇」超標 中風、猝死風險高,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,9/11/2022,Brainwash,https://www.hk01.com/article/834020?utm_source=01articlecopy&utm_medium=referral,弒親倫常慘案｜15歲少年以斧頭殘殺4家人埋化糞池　曾遭指控偷錢,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,9/11/2022,Brainwash,https://hk.on.cc/hk/bkn/cnt/intnews/20221109/bkn-20221109044625137-1109_00992_001.html,涉職場欺凌　英不管部部長韋廉信辭職,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,9/11/2022,Brainwash,https://skypost.ulifestyle.com.hk/article/3394964/%E6%83%85%E7%B7%92%E5%A4%B1%E6%8E%A7%EF%B8%B3%E8%A2%AB%E4%B8%8A%E5%8F%B8%E7%95%B6%E7%9C%BE%E7%8B%82%E7%BD%B5%E3%80%80%E9%80%A3%E7%BA%8C4%E6%99%9AOT%E8%87%B3%E5%87%8C%E6%99%A8%E3%80%80%E6%B8%AF%E7%94%B7%E5%A3%93%E5%8A%9B%E7%88%86%E7%85%B2%E5%8C%BF%E5%85%AC%E5%8F%B8%E5%BB%81%E6%89%80%E5%96%8A%EF%BC%9A%E5%94%94%E7%95%B6%E6%88%91%E4%BF%82%E4%BA%BA,情緒失控︳被上司當眾狂罵 連續4晚OT至凌晨 港男壓力爆煲匿公司廁所喊：唔當我係人,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,8/11/2022,Brainwash,https://www.hk01.com/article/834051?utm_source=01articlecopy&utm_medium=referral,威院醫生被指無知會病人手術風險並切斷尺神經　遭控4項專業失當,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,8/11/2022,Brainwash,https://hk.on.cc/hk/bkn/cnt/cnnews/20221108/bkn-20221108090007723-1108_00952_001.html,因鄰里糾紛行兇　商洛市男子殺7人後跳河亡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,8/11/2022,Brainwash,https://udn.com/news/story/7314/6747396?from=udn-catebreaknews_ch2,   台南28歲女3個月不到2次確診 最讓她崩潰的是這一點   ,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/cnnews/20221107/bkn-20221107150025361-1107_00952_001.html,求職詐騙案第3具遺體尋回　風乾蠟化四肢殘缺,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/cnnews/20221107/bkn-20221107050549650-1107_00952_001.html,六旬露宿者酒後失控　拿瓶砸死忘年之交,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,退伍軍人,https://hk.on.cc/hk/bkn/cnt/news/20221107/bkn-20221107143244876-1107_00822_001.html,機電署上月例檢102個冷卻塔水樣本　3樣本退伍軍人桿菌超標,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,depravation,https://hk.on.cc/hk/bkn/cnt/news/20221107/bkn-20221107040056082-1107_00822_001.html,的哥遇惡客慘變人肉沙包　遭連環拳窩面打甩眼鏡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,illness,https://udn.com/news/story/6839/6745105,33歲竹科男「沒三高」血管堵塞90％…2習慣險致命！醫：這症狀恐沒急救機會,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,illness,https://www.bastillepost.com/hongkong/article/11597807-40%E6%AD%B2%E7%94%B7%E7%AA%81%E8%85%B0%E7%97%9B%E7%A2%BA%E8%A8%BA%E3%80%8C%E4%B8%BB%E5%8B%95%E8%84%88%E5%89%9D%E9%9B%A2%E3%80%8D-%E8%87%B4%E5%91%BD%E7%8E%87%E9%81%949%E6%88%90-6%E5%A4%A7%E7%97%85,40歲男突腰痛確診「主動脈剝離」 致命率達9成 6大病徵易忽略,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,李斯特菌,https://www.foodnext.net/science/knowledge/paper/5098755924,食聞】藏在沙拉中的危險份子，小心李斯特菌！,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,7/11/2022,Brainwash,https://www.hk01.com/article/833771?utm_source=01articlecopy&utm_medium=referral ,跑馬地豪宅玫林別墅八旬婦染退伍軍人病　今年累計75宗,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,3/11/2022,類鼻,https://hk.on.cc/hk/bkn/cnt/news/20221103/bkn-20221103114506708-1103_00822_001.html,配水庫泥土驗出類鼻疽菌　不排除可經通風口進入水庫,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,3/11/2022,depravation,https://tw.news.yahoo.com/%E7%85%A7%E9%A1%A740%E5%B9%B4%E7%B4%AF%E4%BA%86-81%E6%AD%B2%E7%BF%81%E5%B0%87%E8%BC%AA%E6%A4%85%E5%A6%BB%E6%8E%A8%E8%90%BD%E6%B5%B7-%E9%87%A3%E5%AE%A2%E9%A9%9A%E8%A6%8B%E6%B5%AE%E5%B1%8D%E6%80%A5%E5%A0%B1%E8%AD%A6-053834917.html,  照顧40年累了！81歲翁將輪椅妻推落海 釣客驚見浮屍急報警  ,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,2/11/2022,depravation,https://www.hk01.com/article/831609?utm_source=01articlecopy&utm_medium=referral,人渣！新加坡僱主虐印傭　衣架插眼打至雙目失明　地下爬行做家務,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,31/10/2022,depravation,https://hk.on.cc/hk/bkn/cnt/intnews/20221031/bkn-20221031013121571-1031_00992_001.html,演唱會釀人踩人事件　11人死亡,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,31/10/2022,depravation,https://hk.on.cc/hk/bkn/cnt/intnews/20221031/bkn-20221031001223321-1031_00992_001.html,西部吊橋斷裂多人墮河　141人喪生,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,31/10/2022,Covid,https://hk.on.cc/hk/bkn/cnt/news/20221031/bkn-20221031010513580-1031_00822_001.html,再增1宗確診　34歲女患者與染疫女莊荷住同一大廈,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,31/10/2022,Covid,https://hk.on.cc/hk/bkn/cnt/finance/20221031/bkn-20221031080747777-1031_00842_001.html,艾美疫苗：EV71-CA16二價手足口病疫苗獲批准臨床試驗,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,30/10/2022,depravation,https://hk.on.cc/hk/bkn/cnt/intnews/20221030/bkn-20221030000333475-1030_00992_001.html?eventsection=hk_intnews&eventid=402882b08412278c018424952e806bd6,  首爾萬聖節派對人踩人　至少153死82傷  ,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,30/10/2022,depravation,https://hk.on.cc/hk/bkn/cnt/intnews/20221030/bkn-20221030170716004-1030_00992_001.html,麥加人踩人曾釀2300死　多梨泰院逾10倍,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,30/10/2022,illness,https://hk.on.cc/hk/bkn/cnt/news/20221030/bkn-20221030160939442-1030_00822_001.html,類鼻疽康復者曾用地下水洗漱　議員促驗白田?地盤水源,,,,,,,,,,,,,
??醫藥病疫精神健康情緒等等,30/10/2022,depravation,https://tw.news.yahoo.com/%E5%BD%B1-%E5%A2%A8%E9%8F%A1%E7%94%B7%E7%88%BD%E7%8E%A9%E6%BA%9C%E7%B4%A2-%E4%B8%8B%E7%A7%92%E5%AE%8C%E4%BA%86-%E8%A6%AA%E6%89%8B%E9%8C%84%E4%B8%8B%E6%AD%BB%E4%BA%A1%E7%9E%AC%E9%96%93-%E5%A5%B3%E5%8F%8B%E7%AC%AC%E4%BA%8C%E8%A6%96%E8%A7%92%E8%A6%8B%E4%BB%96%E5%A2%9C%E5%9C%B0%E4%BA%A1-005707561.html,影/墨鏡男爽玩溜索…下秒完了！親手錄下死亡瞬間 女友第二視角見他墜地亡,,,,,,,,,,,,,
